id,title,description,description_plain
260001,กรมปราบปราม,"หน่วยงานที่แยกออกจากหน่วยงานบริหาร ยุติธรรม และทหารของหวงหลง โดยเจ้าหน้าที่ระดับสูงสุดของหน่วยงานนี้เรียกว่า ""ผู้บัญชาการ"" กรมปราบปรามตรงรับคำสั่งจากท่านราชันแห่งหวงหลง มีอำนาจในการแทรกแซงและสอบสวนคดีใดๆ คดีของเจ้าหน้าที่หรืออาชญากรโดยไม่ต้องได้รับการอนุมัติจากหน่วยงานต่างๆ ของหวงหลง และมีสิทธิในการ ""ฆ่าก่อนแล้วค่อยรายงาน"" ตามทฤษฎี กรมปราบปรามรับผิดชอบในการสอบสวนคดีที่ซับซ้อนเป็นประจำ ดังนั้น กรมปราบปรามจึงมีวิธีการพิเศษที่เน้นไปที่เรโซเนเตอร์ในหวงหลง","หน่วยงานที่แยกออกจากหน่วยงานบริหาร ยุติธรรม และทหารของหวงหลง โดยเจ้าหน้าที่ระดับสูงสุดของหน่วยงานนี้เรียกว่า ""ผู้บัญชาการ"" กรมปราบปรามตรงรับคำสั่งจากท่านราชันแห่งหวงหลง มีอำนาจในการแทรกแซงและสอบสวนคดีใดๆ คดีของเจ้าหน้าที่หรืออาชญากรโดยไม่ต้องได้รับการอนุมัติจากหน่วยงานต่างๆ ของหวงหลง และมีสิทธิในการ ""ฆ่าก่อนแล้วค่อยรายงาน"" ตามทฤษฎี กรมปราบปรามรับผิดชอบในการสอบสวนคดีที่ซับซ้อนเป็นประจำ ดังนั้น กรมปราบปรามจึงมีวิธีการพิเศษที่เน้นไปที่เรโซเนเตอร์ในหวงหลง"
260002,กระทรวงพินิจจักรดารา,"หน่วยงานพิเศษที่รับผิดชอบการสังเกตเซนติเนลของแต่ละเมืองในหวงหลง รวมถึงดาราศาสตร์และปฏิทิน ถูกจัดตั้งขึ้นภายใต้การดูแลของเจ้าหน้าที่ระดับสูงสุดในหมิงถิง ซึ่งเรียกว่า ""ผู้คุมกระทรวง"" ส่วนหัวหน้าหน่วยงานในหกเมืองที่เหลือเรียกว่า ""ผู้ตรวจการ"" หน่วยงานเหล่านี้มีอำนาจพิเศษในการตัดสินใจเกี่ยวกับเรื่องของเซนติเนล แต่มีอำนาจเพียงแค่ให้คำแนะนำและตรวจสอบการทำงานของหน่วยงานในเมืองและหน่วยงานบริหารของหมิงถิงเท่านั้น","หน่วยงานพิเศษที่รับผิดชอบการสังเกตเซนติเนลของแต่ละเมืองในหวงหลง รวมถึงดาราศาสตร์และปฏิทิน ถูกจัดตั้งขึ้นภายใต้การดูแลของเจ้าหน้าที่ระดับสูงสุดในหมิงถิง ซึ่งเรียกว่า ""ผู้คุมกระทรวง"" ส่วนหัวหน้าหน่วยงานในหกเมืองที่เหลือเรียกว่า ""ผู้ตรวจการ"" หน่วยงานเหล่านี้มีอำนาจพิเศษในการตัดสินใจเกี่ยวกับเรื่องของเซนติเนล แต่มีอำนาจเพียงแค่ให้คำแนะนำและตรวจสอบการทำงานของหน่วยงานในเมืองและหน่วยงานบริหารของหมิงถิงเท่านั้น"
260003,แดนจิต,ทักษะเรโซแนนซ์พิเศษเฉพาะตัวของ Qiuyuan เขาสามารถหยั่งรู้ตำแหน่งหรือแม้แต่สภาพจิตใจของศัตรูได้โดยการสัมผัสรู้ถึงธรรมชาติและความแตกต่างของความถี่โดยรอบ ในกรณีสูงสุด การสัมผัสรู้นี้อาจแข็งแกร่งขึ้นได้ในมิติโซโนโรโดยการสร้างมโนภาพของศัตรูหรือแม้แต่ของตัวเขาเองเป็นจริง,ทักษะเรโซแนนซ์พิเศษเฉพาะตัวของ Qiuyuan เขาสามารถหยั่งรู้ตำแหน่งหรือแม้แต่สภาพจิตใจของศัตรูได้โดยการสัมผัสรู้ถึงธรรมชาติและความแตกต่างของความถี่โดยรอบ ในกรณีสูงสุด การสัมผัสรู้นี้อาจแข็งแกร่งขึ้นได้ในมิติโซโนโรโดยการสร้างมโนภาพของศัตรูหรือแม้แต่ของตัวเขาเองเป็นจริง
260004,ลาไฮรอย,"อารยธรรมที่ตั้งอยู่ในภูมิภาคขั้วโลกของโซลาริส การเปลี่ยนแปลงในยุคโบราณของแกนดาวเคราะห์ได้กำหนดภูมิประเทศโลกนี้ขึ้นใหม่ ทำให้ภูมิภาคลาไฮรอยกลายเป็นขั้วโลกในปัจจุบันของดาวเคราะห์ดวงนี้ เมื่อเวลาผ่านไปถ้ำที่กว้างใหญ่ลึกลงไปใต้ชั้นน้ำแข็งและหิมะหนาก็ค่อยๆ กลายสภาพเป็นแหล่งที่อยู่อาศัยของมนุษย์ ในที่หลบภัยใต้พิภพที่อบอุ่นและชื้นแห่งนี้เป็นที่ตั้งของนครแห่งวิชาการสำหรับเหล่าเรโซเนเตอร์ ซึ่งได้รับการยกย่องว่าเป็น ""ที่หลบภัยการวิจัยแห่งโซลาริส"" และเป็น ""ยูโทเปียของนักวิจัย""","อารยธรรมที่ตั้งอยู่ในภูมิภาคขั้วโลกของโซลาริส การเปลี่ยนแปลงในยุคโบราณของแกนดาวเคราะห์ได้กำหนดภูมิประเทศโลกนี้ขึ้นใหม่ ทำให้ภูมิภาคลาไฮรอยกลายเป็นขั้วโลกในปัจจุบันของดาวเคราะห์ดวงนี้ เมื่อเวลาผ่านไปถ้ำที่กว้างใหญ่ลึกลงไปใต้ชั้นน้ำแข็งและหิมะหนาก็ค่อยๆ กลายสภาพเป็นแหล่งที่อยู่อาศัยของมนุษย์ ในที่หลบภัยใต้พิภพที่อบอุ่นและชื้นแห่งนี้เป็นที่ตั้งของนครแห่งวิชาการสำหรับเหล่าเรโซเนเตอร์ ซึ่งได้รับการยกย่องว่าเป็น ""ที่หลบภัยการวิจัยแห่งโซลาริส"" และเป็น ""ยูโทเปียของนักวิจัย"""
260005,Chimera,"สมุนคลื่นทมิฬที่สร้างขึ้นโดยเลอไวอะธัน โดยการรวมคลื่นความถี่ของทาเซ็ตดิสคอร์ดทรงพลังสามตัวเข้าด้วยกันได้แก่ ""Nemea"" สิงโตผู้แข็งแกร่ง, ""Pan"" แพะบรรพบุรุษ, และ ""Python"" อสรพิษเจ้าเล่ห์ ครั้งหนึ่งเคยเป็น ""ผลผลิตตัวแรก"" ของเลอไวอะธัน แต่ปัจจุบัน ""อาศัยอยู่"" ภายในตัว Galbrena หลังจากรวมเข้ากับคลื่นความถี่ของเธอ
ภายในสิ่งมีชีวิตที่รวมเข้าด้วยกันนี้ธรรมชาติที่ดุร้ายของสิงโตได้ครอบงำเจตจำนงของไคมีร่า ในขณะที่แพะระงับอารมณ์ที่รุนแรงด้วยการกลืนกินความเมตตาของมนุษย์ แม้ว่าอสรพิษเจ้าเล่ห์ผู้รักอิสระจะดูภักดีต่อ Galbrena แต่กลับแอบบ่อนทำลายคลื่นความถี่ของเธออย่างเงียบๆ","สมุนคลื่นทมิฬที่สร้างขึ้นโดยเลอไวอะธัน โดยการรวมคลื่นความถี่ของทาเซ็ตดิสคอร์ดทรงพลังสามตัวเข้าด้วยกันได้แก่ ""Nemea"" สิงโตผู้แข็งแกร่ง, ""Pan"" แพะบรรพบุรุษ, และ ""Python"" อสรพิษเจ้าเล่ห์ ครั้งหนึ่งเคยเป็น ""ผลผลิตตัวแรก"" ของเลอไวอะธัน แต่ปัจจุบัน ""อาศัยอยู่"" ภายในตัว Galbrena หลังจากรวมเข้ากับคลื่นความถี่ของเธอ
ภายในสิ่งมีชีวิตที่รวมเข้าด้วยกันนี้ธรรมชาติที่ดุร้ายของสิงโตได้ครอบงำเจตจำนงของไคมีร่า ในขณะที่แพะระงับอารมณ์ที่รุนแรงด้วยการกลืนกินความเมตตาของมนุษย์ แม้ว่าอสรพิษเจ้าเล่ห์ผู้รักอิสระจะดูภักดีต่อ Galbrena แต่กลับแอบบ่อนทำลายคลื่นความถี่ของเธออย่างเงียบๆ"
260006,ฟาเบียนัม,"ชื่อเดิมของ ""เมืองพึมพำ"" ที่ถูกทำลายเมื่อสิบหกปีก่อนจากการระบาดของคลื่นทมิฬในสนามล่า ปัจจุบันเป็นเมืองของกลาดิเอเตอร์ที่สาบสูญซึ่งอยู่ในแดนรกร้าง","ชื่อเดิมของ ""เมืองพึมพำ"" ที่ถูกทำลายเมื่อสิบหกปีก่อนจากการระบาดของคลื่นทมิฬในสนามล่า ปัจจุบันเป็นเมืองของกลาดิเอเตอร์ที่สาบสูญซึ่งอยู่ในแดนรกร้าง"
260007,สนามทาเซ็ตข้ามมิติ,"สนามทาเซ็ตที่อยู่ในมิติแยก
เชื่อกันว่า ""สนามทาเซ็ต"" เป็นแหล่งกำเนิดของทาเซ็ตดิสคอร์ดทั้งหมด สถานที่เหล่านี้มีท้องฟ้าเป็นทะเลกลับหัวและสัญลักษณ์ทาเซ็ตรูปกากบาทเข้มบนพื้น เสียงกังวานเต็มไปทั่วบรรยากาศเชื่อมโยงโลกของเราเข้ากับพื้นที่ที่ไม่รู้จักผ่านเรโซแนนซ์คอร์ดสีขาว ซึ่งดึงดูดการรวมตัวของทาเซ็ตดิสคอร์ด","สนามทาเซ็ตที่อยู่ในมิติแยก
เชื่อกันว่า ""สนามทาเซ็ต"" เป็นแหล่งกำเนิดของทาเซ็ตดิสคอร์ดทั้งหมด สถานที่เหล่านี้มีท้องฟ้าเป็นทะเลกลับหัวและสัญลักษณ์ทาเซ็ตรูปกากบาทเข้มบนพื้น เสียงกังวานเต็มไปทั่วบรรยากาศเชื่อมโยงโลกของเราเข้ากับพื้นที่ที่ไม่รู้จักผ่านเรโซแนนซ์คอร์ดสีขาว ซึ่งดึงดูดการรวมตัวของทาเซ็ตดิสคอร์ด"
260008,แม่ทัพใหญ่,"เจ้าหน้าที่ระดับสูงสุดของกระทรวงการสงครามหวงหลง ผู้ที่ควบคุมกิจการทหารของหกเมืองในหวงหลง ตำแหน่งทางการคือ ""เสนาบดีกระทรวงสงคราม"" และ ""แม่ทัพใหญ่"" เป็นชื่อเรียกแบบทางการที่ใช้เพื่อแสดงถึงยศและอำนาจที่สำคัญของตำแหน่งนี้","เจ้าหน้าที่ระดับสูงสุดของกระทรวงการสงครามหวงหลง ผู้ที่ควบคุมกิจการทหารของหกเมืองในหวงหลง ตำแหน่งทางการคือ ""เสนาบดีกระทรวงสงคราม"" และ ""แม่ทัพใหญ่"" เป็นชื่อเรียกแบบทางการที่ใช้เพื่อแสดงถึงยศและอำนาจที่สำคัญของตำแหน่งนี้"
260009,หมิงถิง,เมืองหลวงของหวงหลง ศูนย์กลางทางการเมือง เศรษฐกิจ และวัฒนธรรมของประเทศ,เมืองหลวงของหวงหลง ศูนย์กลางทางการเมือง เศรษฐกิจ และวัฒนธรรมของประเทศ
260010,กระทรวงการสงคราม,"หน่วยงานการบริหารทหารสูงสุดของหวงหลง ตั้งอยู่ทั้งหมิงถิงและอีกหกเมือง โดยเจ้าหน้าที่ระดับสูงสุดของกระทรวงการสงครามในหมิงถิงเรียกว่า ""เสนาบดีกระทรวงสงคราม"" ซึ่งเป็นผู้ควบคุมกิจการทหารของหกเมือง ส่วนหัวหน้ากระทรวงการสงครามของแต่ละเมืองเรียกว่า ""แม่ทัพปราบปราม"" ที่ดูแลกิจการทหารภายในเมืองนั้นๆ โดยทั่วไปแล้วแม่ทัพปราบปรามในกระทรวงการสงครามของหกเมืองจะได้รับการแต่งตั้งจากหมิงถิง แต่บางเมืองที่มีลักษณะพิเศษอาจได้รับการเลือกจากเซนติเนล","หน่วยงานการบริหารทหารสูงสุดของหวงหลง ตั้งอยู่ทั้งหมิงถิงและอีกหกเมือง โดยเจ้าหน้าที่ระดับสูงสุดของกระทรวงการสงครามในหมิงถิงเรียกว่า ""เสนาบดีกระทรวงสงคราม"" ซึ่งเป็นผู้ควบคุมกิจการทหารของหกเมือง ส่วนหัวหน้ากระทรวงการสงครามของแต่ละเมืองเรียกว่า ""แม่ทัพปราบปราม"" ที่ดูแลกิจการทหารภายในเมืองนั้นๆ โดยทั่วไปแล้วแม่ทัพปราบปรามในกระทรวงการสงครามของหกเมืองจะได้รับการแต่งตั้งจากหมิงถิง แต่บางเมืองที่มีลักษณะพิเศษอาจได้รับการเลือกจากเซนติเนล"
